Image Index,Finding Labels
Consolidation_000_000.png,Consolidation
Consolidation_000_001.png,Consolidation
Consolidation_000_002.png,Consolidation
Consolidation_000_003.png,Consolidation
Consolidation_000_004.png,Consolidation
Consolidation_000_005.png,Consolidation
Consolidation_000_006.png,Consolidation
Consolidation_000_007.png,Consolidation
Consolidation_000_008.png,Consolidation
Consolidation_000_009.png,Consolidation
Consolidation_000_010.png,Consolidation
Consolidation_000_011.png,Consolidation
Consolidation_000_012.png,Consolidation
Consolidation_000_013.png,Consolidation
Consolidation_000_014.png,Consolidation
Consolidation_000_015.png,Consolidation
Consolidation_000_016.png,Consolidation
Consolidation_000_017.png,Consolidation
Consolidation_000_018.png,Consolidation
Consolidation_000_019.png,Consolidation
Consolidation_000_020.png,Consolidation
Consolidation_000_021.png,Consolidation
Consolidation_000_022.png,Consolidation
Consolidation_000_023.png,Consolidation
Consolidation_000_024.png,Consolidation
Consolidation_000_025.png,Consolidation
Consolidation_000_026.png,Consolidation
Consolidation_000_027.png,Consolidation
Consolidation_000_028.png,Consolidation
Consolidation_000_029.png,Consolidation
Consolidation_000_030.png,Consolidation
Consolidation_000_031.png,Consolidation
Consolidation_000_032.png,Consolidation
Consolidation_000_033.png,Consolidation
Consolidation_000_034.png,Consolidation
Consolidation_000_035.png,Consolidation
Consolidation_000_036.png,Consolidation
Consolidation_000_037.png,Consolidation
Consolidation_000_038.png,Consolidation
Consolidation_000_039.png,Consolidation
Consolidation_000_040.png,Consolidation
Consolidation_000_041.png,Consolidation
Consolidation_000_042.png,Consolidation
Consolidation_000_043.png,Consolidation
Consolidation_000_044.png,Consolidation
Consolidation_000_045.png,Consolidation
Consolidation_000_046.png,Consolidation
Consolidation_000_047.png,Consolidation
Consolidation_000_048.png,Consolidation
Consolidation_000_049.png,Consolidation
Consolidation_001_000.png,Consolidation
Consolidation_001_001.png,Consolidation
Consolidation_001_002.png,Consolidation
Consolidation_001_003.png,Consolidation
Consolidation_001_004.png,Consolidation
Consolidation_001_005.png,Consolidation
Consolidation_001_006.png,Consolidation
Consolidation_001_007.png,Consolidation
Consolidation_001_008.png,Consolidation
Consolidation_001_009.png,Consolidation
Consolidation_001_010.png,Consolidation
Consolidation_001_011.png,Consolidation
Consolidation_001_012.png,Consolidation
Consolidation_001_013.png,Consolidation
Consolidation_001_014.png,Consolidation
Consolidation_001_015.png,Consolidation
Consolidation_001_016.png,Consolidation
Consolidation_001_017.png,Consolidation
Consolidation_001_018.png,Consolidation
Consolidation_001_019.png,Consolidation
Consolidation_001_020.png,Consolidation
Consolidation_001_021.png,Consolidation
Consolidation_001_022.png,Consolidation
Consolidation_001_023.png,Consolidation
Consolidation_001_024.png,Consolidation
Consolidation_001_025.png,Consolidation
Consolidation_001_026.png,Consolidation
Consolidation_001_027.png,Consolidation
Consolidation_001_028.png,Consolidation
Consolidation_001_029.png,Consolidation
Consolidation_001_030.png,Consolidation
Consolidation_001_031.png,Consolidation
Consolidation_001_032.png,Consolidation
Consolidation_001_033.png,Consolidation
Consolidation_001_034.png,Consolidation
Consolidation_001_035.png,Consolidation
Consolidation_001_036.png,Consolidation
Consolidation_001_037.png,Consolidation
Consolidation_001_038.png,Consolidation
Consolidation_001_039.png,Consolidation
Consolidation_001_040.png,Consolidation
Consolidation_001_041.png,Consolidation
Consolidation_001_042.png,Consolidation
Consolidation_001_043.png,Consolidation
Consolidation_001_044.png,Consolidation
Consolidation_001_045.png,Consolidation
Consolidation_001_046.png,Consolidation
Consolidation_001_047.png,Consolidation
Consolidation_001_048.png,Consolidation
Consolidation_001_049.png,Consolidation
Consolidation_002_000.png,Consolidation
Consolidation_002_001.png,Consolidation
Consolidation_002_002.png,Consolidation
Consolidation_002_003.png,Consolidation
Consolidation_002_004.png,Consolidation
Consolidation_002_005.png,Consolidation
Consolidation_002_006.png,Consolidation
Consolidation_002_007.png,Consolidation
Consolidation_002_008.png,Consolidation
Consolidation_002_009.png,Consolidation
Consolidation_002_010.png,Consolidation
Consolidation_002_011.png,Consolidation
Consolidation_002_012.png,Consolidation
Consolidation_002_013.png,Consolidation
Consolidation_002_014.png,Consolidation
Consolidation_002_015.png,Consolidation
Consolidation_002_016.png,Consolidation
Consolidation_002_017.png,Consolidation
Consolidation_002_018.png,Consolidation
Consolidation_002_019.png,Consolidation
Consolidation_002_020.png,Consolidation
Consolidation_002_021.png,Consolidation
Consolidation_002_022.png,Consolidation
Consolidation_002_023.png,Consolidation
Consolidation_002_024.png,Consolidation
Consolidation_002_025.png,Consolidation
Consolidation_002_026.png,Consolidation
Consolidation_002_027.png,Consolidation
Consolidation_002_028.png,Consolidation
Consolidation_002_029.png,Consolidation
Consolidation_002_030.png,Consolidation
Consolidation_002_031.png,Consolidation
Consolidation_002_032.png,Consolidation
Consolidation_002_033.png,Consolidation
Consolidation_002_034.png,Consolidation
Consolidation_002_035.png,Consolidation
Consolidation_002_036.png,Consolidation
Consolidation_002_037.png,Consolidation
Consolidation_002_038.png,Consolidation
Consolidation_002_039.png,Consolidation
Consolidation_002_040.png,Consolidation
Consolidation_002_041.png,Consolidation
Consolidation_002_042.png,Consolidation
Consolidation_002_043.png,Consolidation
Consolidation_002_044.png,Consolidation
Consolidation_002_045.png,Consolidation
Consolidation_002_046.png,Consolidation
Consolidation_002_047.png,Consolidation
Consolidation_002_048.png,Consolidation
Consolidation_002_049.png,Consolidation
Consolidation_003_000.png,Consolidation
Consolidation_003_001.png,Consolidation
Consolidation_003_002.png,Consolidation
Consolidation_003_003.png,Consolidation
Consolidation_003_004.png,Consolidation
Consolidation_003_005.png,Consolidation
Consolidation_003_006.png,Consolidation
Consolidation_003_007.png,Consolidation
Consolidation_003_008.png,Consolidation
Consolidation_003_009.png,Consolidation
Consolidation_003_010.png,Consolidation
Consolidation_003_011.png,Consolidation
Consolidation_003_012.png,Consolidation
Consolidation_003_013.png,Consolidation
Consolidation_003_014.png,Consolidation
Consolidation_003_015.png,Consolidation
Consolidation_003_016.png,Consolidation
Consolidation_003_017.png,Consolidation
Consolidation_003_018.png,Consolidation
Consolidation_003_019.png,Consolidation
Consolidation_003_020.png,Consolidation
Consolidation_003_021.png,Consolidation
Consolidation_003_022.png,Consolidation
Consolidation_003_023.png,Consolidation
Consolidation_003_024.png,Consolidation
Consolidation_003_025.png,Consolidation
Consolidation_003_026.png,Consolidation
Consolidation_003_027.png,Consolidation
Consolidation_003_028.png,Consolidation
Consolidation_003_029.png,Consolidation
Consolidation_003_030.png,Consolidation
Consolidation_003_031.png,Consolidation
Consolidation_003_032.png,Consolidation
Consolidation_003_033.png,Consolidation
Consolidation_003_034.png,Consolidation
Consolidation_003_035.png,Consolidation
Consolidation_003_036.png,Consolidation
Consolidation_003_037.png,Consolidation
Consolidation_003_038.png,Consolidation
Consolidation_003_039.png,Consolidation
Consolidation_003_040.png,Consolidation
Consolidation_003_041.png,Consolidation
Consolidation_003_042.png,Consolidation
Consolidation_003_043.png,Consolidation
Consolidation_003_044.png,Consolidation
Consolidation_003_045.png,Consolidation
Consolidation_003_046.png,Consolidation
Consolidation_003_047.png,Consolidation
Consolidation_003_048.png,Consolidation
Consolidation_003_049.png,Consolidation
Consolidation_004_000.png,Consolidation
Consolidation_004_001.png,Consolidation
Consolidation_004_002.png,Consolidation
Consolidation_004_003.png,Consolidation
Consolidation_004_004.png,Consolidation
Consolidation_004_005.png,Consolidation
Consolidation_004_006.png,Consolidation
Consolidation_004_007.png,Consolidation
Consolidation_004_008.png,Consolidation
Consolidation_004_009.png,Consolidation
Consolidation_004_010.png,Consolidation
Consolidation_004_011.png,Consolidation
Consolidation_004_012.png,Consolidation
Consolidation_004_013.png,Consolidation
Consolidation_004_014.png,Consolidation
Consolidation_004_015.png,Consolidation
Consolidation_004_016.png,Consolidation
Consolidation_004_017.png,Consolidation
Consolidation_004_018.png,Consolidation
Consolidation_004_019.png,Consolidation
Consolidation_004_020.png,Consolidation
Consolidation_004_021.png,Consolidation
Consolidation_004_022.png,Consolidation
Consolidation_004_023.png,Consolidation
Consolidation_004_024.png,Consolidation
Consolidation_004_025.png,Consolidation
Consolidation_004_026.png,Consolidation
Consolidation_004_027.png,Consolidation
Consolidation_004_028.png,Consolidation
Consolidation_004_029.png,Consolidation
Consolidation_004_030.png,Consolidation
Consolidation_004_031.png,Consolidation
Consolidation_004_032.png,Consolidation
Consolidation_004_033.png,Consolidation
Consolidation_004_034.png,Consolidation
Consolidation_004_035.png,Consolidation
Consolidation_004_036.png,Consolidation
Consolidation_004_037.png,Consolidation
Consolidation_004_038.png,Consolidation
Consolidation_004_039.png,Consolidation
Consolidation_004_040.png,Consolidation
Consolidation_004_041.png,Consolidation
Consolidation_004_042.png,Consolidation
Consolidation_004_043.png,Consolidation
Consolidation_004_044.png,Consolidation
Consolidation_004_045.png,Consolidation
Consolidation_004_046.png,Consolidation
Consolidation_004_047.png,Consolidation
Consolidation_004_048.png,Consolidation
Consolidation_004_049.png,Consolidation
Consolidation_005_000.png,Consolidation
Consolidation_005_001.png,Consolidation
Consolidation_005_002.png,Consolidation
Consolidation_005_003.png,Consolidation
Consolidation_005_004.png,Consolidation
Consolidation_005_005.png,Consolidation
Consolidation_005_006.png,Consolidation
Consolidation_005_007.png,Consolidation
Consolidation_005_008.png,Consolidation
Consolidation_005_009.png,Consolidation
Consolidation_005_010.png,Consolidation
Consolidation_005_011.png,Consolidation
Consolidation_005_012.png,Consolidation
Consolidation_005_013.png,Consolidation
Consolidation_005_014.png,Consolidation
Consolidation_005_015.png,Consolidation
Consolidation_005_016.png,Consolidation
Consolidation_005_017.png,Consolidation
Consolidation_005_018.png,Consolidation
Consolidation_005_019.png,Consolidation
Consolidation_005_020.png,Consolidation
Consolidation_005_021.png,Consolidation
Consolidation_005_022.png,Consolidation
Consolidation_005_023.png,Consolidation
Consolidation_005_024.png,Consolidation
Consolidation_005_025.png,Consolidation
Consolidation_005_026.png,Consolidation
Consolidation_005_027.png,Consolidation
Consolidation_005_028.png,Consolidation
Consolidation_005_029.png,Consolidation
Consolidation_005_030.png,Consolidation
Consolidation_005_031.png,Consolidation
Consolidation_005_032.png,Consolidation
Consolidation_005_033.png,Consolidation
Consolidation_005_034.png,Consolidation
Consolidation_005_035.png,Consolidation
Consolidation_005_036.png,Consolidation
Consolidation_005_037.png,Consolidation
Consolidation_005_038.png,Consolidation
Consolidation_005_039.png,Consolidation
Consolidation_005_040.png,Consolidation
Consolidation_005_041.png,Consolidation
Consolidation_005_042.png,Consolidation
Consolidation_005_043.png,Consolidation
Consolidation_005_044.png,Consolidation
Consolidation_005_045.png,Consolidation
Consolidation_005_046.png,Consolidation
Consolidation_005_047.png,Consolidation
Consolidation_005_048.png,Consolidation
Consolidation_005_049.png,Consolidation
Consolidation_006_000.png,Consolidation
Consolidation_006_001.png,Consolidation
Consolidation_006_002.png,Consolidation
Consolidation_006_003.png,Consolidation
Consolidation_006_004.png,Consolidation
Consolidation_006_005.png,Consolidation
Consolidation_006_006.png,Consolidation
Consolidation_006_007.png,Consolidation
Consolidation_006_008.png,Consolidation
Consolidation_006_009.png,Consolidation
Consolidation_006_010.png,Consolidation
Consolidation_006_011.png,Consolidation
Consolidation_006_012.png,Consolidation
Consolidation_006_013.png,Consolidation
Consolidation_006_014.png,Consolidation
Consolidation_006_015.png,Consolidation
Consolidation_006_016.png,Consolidation
Consolidation_006_017.png,Consolidation
Consolidation_006_018.png,Consolidation
Consolidation_006_019.png,Consolidation
Consolidation_006_020.png,Consolidation
Consolidation_006_021.png,Consolidation
Consolidation_006_022.png,Consolidation
Consolidation_006_023.png,Consolidation
Consolidation_006_024.png,Consolidation
Consolidation_006_025.png,Consolidation
Consolidation_006_026.png,Consolidation
Consolidation_006_027.png,Consolidation
Consolidation_006_028.png,Consolidation
Consolidation_006_029.png,Consolidation
Consolidation_006_030.png,Consolidation
Consolidation_006_031.png,Consolidation
Consolidation_006_032.png,Consolidation
Consolidation_006_033.png,Consolidation
Consolidation_006_034.png,Consolidation
Consolidation_006_035.png,Consolidation
Consolidation_006_036.png,Consolidation
Consolidation_006_037.png,Consolidation
Consolidation_006_038.png,Consolidation
Consolidation_006_039.png,Consolidation
Consolidation_006_040.png,Consolidation
Consolidation_006_041.png,Consolidation
Consolidation_006_042.png,Consolidation
Consolidation_006_043.png,Consolidation
Consolidation_006_044.png,Consolidation
Consolidation_006_045.png,Consolidation
Consolidation_006_046.png,Consolidation
Consolidation_006_047.png,Consolidation
Consolidation_006_048.png,Consolidation
Consolidation_006_049.png,Consolidation
Consolidation_007_000.png,Consolidation
Consolidation_007_001.png,Consolidation
Consolidation_007_002.png,Consolidation
Consolidation_007_003.png,Consolidation
Consolidation_007_004.png,Consolidation
Consolidation_007_005.png,Consolidation
Consolidation_007_006.png,Consolidation
Consolidation_007_007.png,Consolidation
Consolidation_007_008.png,Consolidation
Consolidation_007_009.png,Consolidation
Consolidation_007_010.png,Consolidation
Consolidation_007_011.png,Consolidation
Consolidation_007_012.png,Consolidation
Consolidation_007_013.png,Consolidation
Consolidation_007_014.png,Consolidation
Consolidation_007_015.png,Consolidation
Consolidation_007_016.png,Consolidation
Consolidation_007_017.png,Consolidation
Consolidation_007_018.png,Consolidation
Consolidation_007_019.png,Consolidation
Consolidation_007_020.png,Consolidation
Consolidation_007_021.png,Consolidation
Consolidation_007_022.png,Consolidation
Consolidation_007_023.png,Consolidation
Consolidation_007_024.png,Consolidation
Consolidation_007_025.png,Consolidation
Consolidation_007_026.png,Consolidation
Consolidation_007_027.png,Consolidation
Consolidation_007_028.png,Consolidation
Consolidation_007_029.png,Consolidation
Consolidation_007_030.png,Consolidation
Consolidation_007_031.png,Consolidation
Consolidation_007_032.png,Consolidation
Consolidation_007_033.png,Consolidation
Consolidation_007_034.png,Consolidation
Consolidation_007_035.png,Consolidation
Consolidation_007_036.png,Consolidation
Consolidation_007_037.png,Consolidation
Consolidation_007_038.png,Consolidation
Consolidation_007_039.png,Consolidation
Consolidation_007_040.png,Consolidation
Consolidation_007_041.png,Consolidation
Consolidation_007_042.png,Consolidation
Consolidation_007_043.png,Consolidation
Consolidation_007_044.png,Consolidation
Consolidation_007_045.png,Consolidation
Consolidation_007_046.png,Consolidation
Consolidation_007_047.png,Consolidation
Consolidation_007_048.png,Consolidation
